Item,Type,Quantity,Calories,Carbohydrate,Fat,Protein
nuts,Nuts, 28 g,130,20g,5g,2g
drumstick,Drumstick Tegel Nz, 100 g,157,0g,9g,19g
drumstick,Nestle, 1 Drumstick,290,32g,16g,4g
drumstick,Chicken Drumstick, 1 Small,81,0g,4g,10g
gobi,Ashoka Gobi Paratha, 1 paratha,260,30g,12g,8g
gobi,Home, 1 plate,184,27g,8g,5g
gobi,Rockfella's Gobi Parantha, 100 Grams,254,34g,11g,5g
Firm white pumpkin,Tofu white, 100 g,49,2g,2g,5g
Firm white pumpkin,Puck, 100 g,240,4g,21g,9g
Firm white pumpkin,White Success, 1 slice,56,1g,3g,6g
banana,Banana, 1 cup ( 166 G),133,34g,1g,2g
banana,Banana, 1 piece,121,31g,0g,2g
Loaf bread,Bread loaf, 75 grams,180,35g,2g,8g
Loaf bread,Italian bread loaf, 2 oz. (1/4 loaf),170,29g,2g,6g
Loaf bread,Bread, 1 slice,175,33g,2g,5g
Coconut oil,Oil, 1 tbs,120,0g,14g,0g
Coconut oil,A1 Coconut Oil, 30 g,118,0g,27g,0g
garlic,Garlic Chicken, 3 oz,299,6g,17g,30g
garlic,Garlic dip, 2 tbsp,150,0g,0g,0g
sliced almonds,Sliced Almonds, 2 tbsp,52,2g,5g,2g
sliced almonds,Sliced Almonds Bassé, 30 g,170,6g,15g,7g
sliced almonds,Heb Sliced Almonds, 0.25 cup,160,6g,14g,6g
Dharwadi buffalo milk,Sid’s whole buffalo milk, 100 ml,89,5g,6g,4g
Dharwadi buffalo milk,Indian, 1 cup,115,13g,2g,9g
dry chilli,Chilli Tofu, 1 dish,1082,78g,73g,41g
dry chilli,Dry Beef Chilli, 1 Serving,518,23g,25g,52g
dry chilli,Jhen Ho Chilli Dry Noodle, 1 Pack,380,62g,10g,12g
fenugreek leaves,Fenugreek Leaves, 1 g,323,58g,6g,23g
fenugreek leaves,Spice, 4 g (1 tsp),1,0g,0g,0g
fenugreek leaves,Vadilal, 2 cups,50,6g,1g,4g
jowar flour,Swad, 30 gms,113,23g,1g,3g
jowar flour,Jowar / Sorghum / Milo Flour, 4 pieces cooked - 1 cup raw - 192g,651,143g,6g,21g
jowar flour,Generic, 100 g,329,75g,3g,11g
bengal gram flour,Bhagyalaskhmi Bengal Gram, 100 gram,372,59g,7g,19g
bengal gram flour,bengal gram roasted, 101 gm,368,61g,9g,15g
bengal gram flour,Homemade, 100 gms,164,27g,3g,9g
peanut,Peanut Kisses, 1 pack,105,9g,6g,4g
peanut,peanut, 1.25 c,160,5g,17g,9g
Bitter gourd,Homemade, 100 grams,17,4g,0g,1g
Bitter gourd,Bitter Gourd (Ampalaya), 1 cup,156,14g,10g,7g
Bitter gourd,Bitter gourd (karela)sabzi, 1 burger,555,29g,26g,49g
rava,Rava Payasam/kheer, 1 bowl,350,13g,4g,10g
rava,Rava, 1 cup,360,73g,1g,13g
rava,Mtr, 1 piece,80,21g,7g,3g
brinjal,Brinjal, 1 kg(s),20,5g,0g,1g
brinjal,Brinjal, 100 gm,35,9g,0g,1g
brinjal,Brinjal Potato Curry, 1 cup cooked,195,18g,2g,3g
mixed vegetables,Organic mixed vegetables, 1 cup,60,12g,0g,2g
mixed vegetables,Vegetables, 0.666667 cup,60,11g,1g,2g
mixed vegetables,Tendersweet Mixed Vegetables, 0.5 cup,45,9g,0g,1g
jaggery,Jaggery, 1 tsp,15,4g,0g,0g
jaggery,Viola- Jaggery/gur, 100 gm,383,95g,0g,0g
jaggery,Indian, 100 g,358,85g,0g,0g
refined flour,Kanan Maida, 125 g,455,95g,1g,13g
refined flour,Generic, 100 g,348,0g,1g,11g
Flour,Flour, 100 g,351,76g,2g,8g
corn flour,Corn Flour, 100 g,107,17g,3g,3g
corn flour,Pan Corn Flour, 0.25 cup,110,24g,1g,2g
corn flour,Maseca, 0.25 cup/ or 30 g,110,23g,1g,3g
fresh green peas,Generic, 1 cup,117,21g,1g,8g
fresh green peas,Farm Fresh, 89 g,70,12g,1g,1g
fresh green peas,Fresh, 70 g,330,40g,13g,14g
chana daal,Chana daal cofresh, 28 gm,134,15g,6g,6g
chana daal,Homemade, 1 cup,183,73g,16g,30g
chana daal,Pakistani, 0.5 cup (100 grams) - cooked,350,60g,2g,22g
Aloo,aloo bhujia, 27 grams,156,11g,12g,2g
